Site code,Analyte,Date,mg/day
1335,compund x,17/04/1995,0.327556284
1335,compund x,18/04/1995,0.342787265
1335,compund x,19/04/1995,0.373616157
1335,compund x,31/05/1995,0.364261867
1335,compund x,1/06/1995,0.337818798
1335,compund x,2/06/1995,0.402308807
1335,compund x,3/06/1995,0.544655806
1335,compund x,4/06/1995,0.341074935
1335,compund x,5/06/1995,0.351766141
1335,compund x,6/06/1995,0.821952586
1335,compund x,3/08/1995,0.440013683
1335,compund x,4/08/1995,0.516125216
1335,compund x,5/08/1995,0.385868058
1335,compund x,6/08/1995,0.447283343
1335,compund x,7/08/1995,0.42664524
1335,compund x,8/08/1995,0.450070596
1335,compund x,9/08/1995,0.460854132
1335,compund x,12/10/1995,0.331455081
1335,compund x,13/10/1995,0.3680028
1335,compund x,14/10/1995,0.376912301
1335,compund x,15/10/1995,0.360243955
1335,compund x,16/10/1995,0.379023556
1335,compund x,17/10/1995,0.393172797
1335,compund x,18/10/1995,0.395661644
1335,compund x,30/11/1995,0.399907879
1335,compund x,1/12/1995,0.402401696
1335,compund x,2/12/1995,0.464937475
1335,compund x,3/12/1995,0.396374195
1335,compund x,4/12/1995,0.55931137
1335,compund x,5/12/1995,0.497868394
1335,compund x,6/12/1995,0.558275504
1335,compund x,1/02/1996,0.259346423
1335,compund x,2/02/1996,0.324221067
1335,compund x,3/02/1996,0.360357213
1335,compund x,4/02/1996,0.344489105
1335,compund x,5/02/1996,0.329913182
1335,compund x,6/02/1996,0.348395578
1335,compund x,7/02/1996,0.373819792
1335,compund x,3/04/1996,0.320839591
1335,compund x,4/04/1996,0.411383892
1335,compund x,5/04/1996,0.387996704
1335,compund x,6/04/1996,0.367391128
1335,compund x,7/04/1996,0.383134037
1335,compund x,8/04/1996,0.383436192
1335,compund x,9/04/1996,0.422727343
1335,compund x,6/06/1996,0.299014725
1335,compund x,7/06/1996,0.407023644
1335,compund x,8/06/1996,0.380980537
1335,compund x,9/06/1996,0.39403385
1335,compund x,10/06/1996,0.410177888
1335,compund x,11/06/1996,0.406655682
1335,compund x,12/06/1996,0.402048536
1335,compund x,1/08/1996,0.512978971
1335,compund x,2/08/1996,0.382454938
1335,compund x,3/08/1996,0.442137485
1335,compund x,4/08/1996,0.434508678
1335,compund x,5/08/1996,0.466423906
1335,compund x,6/08/1996,0.439821046
1335,compund x,7/08/1996,0.583764314
1335,compund x,9/10/1996,0.623674106
1335,compund x,10/10/1996,0.625142494
1335,compund x,11/10/1996,0.572415874
1335,compund x,12/10/1996,0.965234716
1335,compund x,13/10/1996,0.606748045
1335,compund x,14/10/1996,0.597991438
1335,compund x,15/10/1996,0.59083575
1335,compund x,27/11/1996,0.79307427
1335,compund x,28/11/1996,0.662991003
1335,compund x,29/11/1996,0.743303773
1335,compund x,30/11/1996,0.5940101
1335,compund x,1/12/1996,0.59876499
1335,compund x,2/12/1996,0.633161819
1335,compund x,3/12/1996,0.63471223
1335,compund x,5/02/1997,0.506592426
1335,compund x,6/02/1997,0.649156231
1335,compund x,7/02/1997,0.489664966
1335,compund x,8/02/1997,0.533724757
1335,compund x,9/02/1997,0.518653631
1335,compund x,10/02/1997,0.628718468
1335,compund x,11/02/1997,0.675253124
1335,compund x,2/04/1997,0.409860005
1335,compund x,3/04/1997,0.39220643
1335,compund x,4/04/1997,0.394262815
1335,compund x,5/04/1997,0.397014315
1335,compund x,6/04/1997,0.388935319
1335,compund x,7/04/1997,0.386132238
1335,compund x,8/04/1997,0.482316937
1335,compund x,4/06/1997,0.454090344
1335,compund x,5/06/1997,0.363721293
1335,compund x,6/06/1997,0.365968474
1335,compund x,7/06/1997,0.400139775
1335,compund x,8/06/1997,0.436587137
1335,compund x,9/06/1997,0.422715115
1335,compund x,10/06/1997,0.440454397
1335,compund x,2/08/1997,0.465048112
1335,compund x,3/08/1997,0.521037291
1335,compund x,4/08/1997,0.520416799
1335,compund x,5/08/1997,0.562390215
1335,compund x,6/08/1997,0.57548816
1335,compund x,7/08/1997,0.469295905
1335,compund x,8/08/1997,0.446735186
1335,compund x,4/10/1997,0.927375926
1335,compund x,5/10/1997,0.804736035
1335,compund x,6/10/1997,0.514360162
1335,compund x,7/10/1997,0.470430219
1335,compund x,8/10/1997,0.49801428
1335,compund x,9/10/1997,0.529234856
1335,compund x,10/10/1997,0.520324817
1335,compund x,29/11/1997,0.603376439
1335,compund x,30/11/1997,0.729750966
1335,compund x,1/12/1997,0.811936113
1335,compund x,2/12/1997,0.727129438
1335,compund x,3/12/1997,0.723803396
1335,compund x,4/12/1997,0.433784342
1335,compund x,5/12/1997,0.668462432
1335,compund x,7/02/1998,0.82248037
1335,compund x,8/02/1998,0.774693726
1335,compund x,9/02/1998,0.896351356
1335,compund x,10/02/1998,0.875164787
1335,compund x,11/02/1998,0.909735723
1335,compund x,12/02/1998,0.838154144
1335,compund x,13/02/1998,0.807341147
1335,compund x,4/04/1998,0.224131039
1335,compund x,5/04/1998,0.263367511
1335,compund x,6/04/1998,0.274573672
1335,compund x,7/04/1998,0.263177441
1335,compund x,8/04/1998,0.288506459
1335,compund x,9/04/1998,0.266211438
1335,compund x,10/04/1998,0.248202512
1335,compund x,30/05/1998,0.254601709
1335,compund x,31/05/1998,0.241642303
1335,compund x,1/06/1998,0.248504607
1335,compund x,2/06/1998,0.255000849
1335,compund x,3/06/1998,0.262418708
1335,compund x,4/06/1998,0.254697213
1335,compund x,5/06/1998,0.240417533
1335,compund x,10/08/1998,0.344450416
1335,compund x,11/08/1998,0.317495918
1335,compund x,12/08/1998,0.316177815
1335,compund x,13/08/1998,0.334108836
1335,compund x,14/08/1998,0.331245808
1335,compund x,15/08/1998,0.314234941
1335,compund x,16/08/1998,0.311750711
1335,compund x,28/11/1998,0.379940562
1335,compund x,29/11/1998,0.35727966
